Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,City,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD-103856,2024-01-01,2024-01-08,Second Class,CUST-1748,Consumer,East,Ipswich,Technology,Machines,2,87.9,0.3,123.06,11.84
ORD-101214,2024-01-01,2024-01-05,First Class,CUST-1132,Consumer,East,Norwich,Furniture,Bookcases,4,749.33,0.0,2997.32,-51.08
ORD-104236,2024-01-01,2024-01-07,Standard Class,CUST-2261,Home Office,South,Brighton,Technology,Phones,2,1501.02,0.1,2701.84,419.72
ORD-101391,2024-01-01,2024-01-06,Second Class,CUST-1444,Corporate,East,Cambridge,Office Supplies,Storage,2,115.84,0.3,162.18,10.27
ORD-105706,2024-01-01,2024-01-02,First Class,CUST-2153,Consumer,North,Newcastle,Office Supplies,Storage,4,34.51,0.0,138.04,14.55
ORD-100169,2024-01-01,2024-01-04,Standard Class,CUST-1459,Consumer,West,Cardiff,Technology,Machines,1,564.5,0.15,479.82,88.92
ORD-101679,2024-01-02,2024-01-06,Standard Class,CUST-1311,Corporate,East,Peterborough,Technology,Machines,1,1423.48,0.0,1423.48,284.83
ORD-105860,2024-01-02,2024-01-06,Standard Class,CUST-2160,Consumer,East,Cambridge,Office Supplies,Paper,5,25.87,0.0,129.35,42.92
ORD-102585,2024-01-02,2024-01-05,Same Day,CUST-1532,Consumer,East,Ipswich,Office Supplies,Storage,5,115.65,0.3,404.77,53.96
ORD-104252,2024-01-02,2024-01-04,Standard Class,CUST-1328,Corporate,South,Brighton,Office Supplies,Labels,3,74.38,0.0,223.14,40.96
ORD-100099,2024-01-02,2024-01-08,Same Day,CUST-1427,Consumer,North,Manchester,Furniture,Tables,1,642.28,0.2,513.82,-82.48
ORD-103665,2024-01-03,2024-01-07,Same Day,CUST-1856,Consumer,East,Ipswich,Technology,Copiers,4,1021.44,0.0,4085.76,-267.62
ORD-102769,2024-01-03,2024-01-09,Standard Class,CUST-1519,Consumer,East,Cambridge,Technology,Copiers,1,552.15,0.15,469.33,-8.53
ORD-105378,2024-01-03,2024-01-07,Standard Class,CUST-1539,Consumer,East,Ipswich,Office Supplies,Labels,2,101.96,0.0,203.92,48.31
ORD-100257,2024-01-03,2024-01-06,Second Class,CUST-1560,Corporate,North,Leeds,Office Supplies,Art,3,3.98,0.0,11.94,2.97
ORD-104637,2024-01-03,2024-01-09,Standard Class,CUST-2298,Consumer,West,Cardiff,Furniture,Furnishings,4,403.17,0.3,1128.88,-198.69
ORD-100714,2024-01-03,2024-01-07,Standard Class,CUST-1524,Consumer,Central,Birmingham,Furniture,Chairs,1,624.43,0.1,561.99,66.38
ORD-102810,2024-01-03,2024-01-07,Second Class,CUST-1525,Home Office,South,Portsmouth,Technology,Machines,3,1213.25,0.0,3639.75,1084.58
ORD-100754,2024-01-03,2024-01-07,Standard Class,CUST-1843,Consumer,North,Manchester,Technology,Phones,3,1643.12,0.1,4436.42,1004.12
ORD-105069,2024-01-04,2024-01-09,Second Class,CUST-1253,Consumer,East,Cambridge,Technology,Phones,4,1246.7,0.1,4488.12,858.04
ORD-104582,2024-01-04,2024-01-07,Standard Class,CUST-1071,Consumer,West,Plymouth,Office Supplies,Paper,5,71.1,0.15,302.18,30.42
ORD-101480,2024-01-04,2024-01-08,Second Class,CUST-1713,Corporate,South,Reading,Furniture,Bookcases,1,823.78,0.1,741.4,-14.55
ORD-104852,2024-01-04,2024-01-11,Standard Class,CUST-2496,Consumer,East,Norwich,Technology,Copiers,3,906.02,0.4,1630.84,-540.07
ORD-102455,2024-01-04,2024-01-08,First Class,CUST-1419,Consumer,Central,Birmingham,Furniture,Bookcases,2,79.08,0.5,79.08,-10.13
ORD-100781,2024-01-04,2024-01-10,Standard Class,CUST-1182,Consumer,West,Plymouth,Office Supplies,Art,3,64.63,0.0,193.89,24.71
ORD-103825,2024-01-04,2024-01-05,Standard Class,CUST-1516,Consumer,North,Manchester,Technology,Copiers,3,739.48,0.0,2218.44,320.23
ORD-105451,2024-01-05,2024-01-09,Standard Class,CUST-1286,Consumer,East,Peterborough,Furniture,Chairs,3,648.2,0.3,1361.22,-312.02
ORD-103638,2024-01-05,2024-01-08,Standard Class,CUST-1238,Consumer,West,Exeter,Technology,Accessories,5,1376.2,0.0,6881.0,903.6
ORD-102782,2024-01-05,2024-01-12,First Class,CUST-1128,Corporate,Central,Nottingham,Technology,Machines,2,660.0,0.0,1320.0,166.56
ORD-104610,2024-01-05,2024-01-10,Standard Class,CUST-2159,Consumer,South,Brighton,Office Supplies,Storage,1,27.09,0.15,23.03,1.08
ORD-104804,2024-01-05,2024-01-08,Standard Class,CUST-2316,Corporate,South,Brighton,Furniture,Chairs,4,692.96,0.1,2494.66,47.47
ORD-102121,2024-01-05,2024-01-11,Second Class,CUST-1632,Corporate,North,Leeds,Office Supplies,Storage,1,90.8,0.15,77.18,-2.81
ORD-103862,2024-01-06,2024-01-11,First Class,CUST-2061,Corporate,West,Plymouth,Office Supplies,Paper,2,118.45,0.0,236.9,27.79
ORD-100304,2024-01-06,2024-01-11,Standard Class,CUST-2411,Corporate,East,Peterborough,Furniture,Tables,1,288.48,0.0,288.48,50.49
ORD-100990,2024-01-06,2024-01-11,Standard Class,CUST-1674,Consumer,South,Brighton,Furniture,Furnishings,1,152.99,0.2,122.39,2.54
ORD-100281,2024-01-06,2024-01-11,First Class,CUST-1761,Home Office,South,Portsmouth,Office Supplies,Storage,1,81.71,0.0,81.71,9.43
ORD-103433,2024-01-06,2024-01-12,Standard Class,CUST-1654,Corporate,North,Leeds,Technology,Machines,2,1302.91,0.0,2605.82,526.76
ORD-105540,2024-01-07,2024-01-10,Standard Class,CUST-1497,Consumer,East,Ipswich,Office Supplies,Binders,3,49.41,0.0,148.23,47.47
ORD-106114,2024-01-07,2024-01-09,First Class,CUST-1592,Corporate,East,Norwich,Technology,Accessories,2,864.31,0.0,1728.62,-48.23
ORD-101102,2024-01-07,2024-01-10,Standard Class,CUST-1867,Consumer,Central,Nottingham,Office Supplies,Storage,2,85.88,0.0,171.76,41.82
ORD-102726,2024-01-07,2024-01-09,First Class,CUST-2172,Corporate,West,Bristol,Office Supplies,Paper,5,29.95,0.1,134.78,1.82
ORD-100949,2024-01-07,2024-01-14,Second Class,CUST-2207,Consumer,Central,Birmingham,Office Supplies,Paper,2,41.72,0.0,83.44,15.85
ORD-100069,2024-01-07,2024-01-12,Second Class,CUST-1706,Corporate,Central,Nottingham,Furniture,Furnishings,5,584.8,0.0,2924.0,408.7
ORD-102863,2024-01-07,2024-01-09,Second Class,CUST-1210,Home Office,North,Sheffield,Office Supplies,Art,1,13.36,0.2,10.69,1.34
ORD-104714,2024-01-07,2024-01-10,Second Class,CUST-1378,Consumer,West,Bristol,Office Supplies,Art,1,25.88,0.1,23.29,4.08
ORD-105045,2024-01-08,2024-01-11,Standard Class,CUST-1383,Corporate,North,Newcastle,Technology,Copiers,2,985.38,0.3,1379.53,-336.52
ORD-101171,2024-01-08,2024-01-10,Standard Class,CUST-1346,Consumer,South,Brighton,Office Supplies,Art,1,29.44,0.15,25.02,2.43
ORD-105047,2024-01-08,2024-01-11,Standard Class,CUST-1473,Consumer,South,Portsmouth,Office Supplies,Labels,3,40.41,0.0,121.23,32.63
ORD-105504,2024-01-08,2024-01-11,First Class,CUST-2092,Consumer,West,Plymouth,Technology,Phones,1,1700.55,0.15,1445.47,182.91
ORD-103685,2024-01-08,2024-01-14,First Class,CUST-1991,Corporate,West,Cardiff,Furniture,Tables,2,204.38,0.1,367.88,-0.83
ORD-102768,2024-01-08,2024-01-12,Standard Class,CUST-1791,Home Office,West,Cardiff,Office Supplies,Labels,4,57.39,0.0,229.56,69.76
ORD-102116,2024-01-09,2024-01-15,Standard Class,CUST-2293,Corporate,North,Leeds,Furniture,Tables,1,183.83,0.0,183.83,10.46
ORD-102450,2024-01-09,2024-01-11,Second Class,CUST-1041,Home Office,North,Leeds,Office Supplies,Paper,2,107.09,0.0,214.18,56.62
ORD-102375,2024-01-09,2024-01-13,Second Class,CUST-1630,Consumer,East,Cambridge,Technology,Machines,3,232.95,0.15,594.02,17.99
ORD-104044,2024-01-09,2024-01-11,Second Class,CUST-1322,Home Office,East,Norwich,Office Supplies,Paper,1,74.84,0.0,74.84,21.01
ORD-105781,2024-01-09,2024-01-16,First Class,CUST-1122,Home Office,West,Bristol,Technology,Phones,2,88.44,0.2,141.5,-7.81
ORD-106417,2024-01-09,2024-01-10,Standard Class,CUST-2062,Consumer,Central,Birmingham,Office Supplies,Paper,3,43.41,0.3,91.16,13.86
ORD-103285,2024-01-09,2024-01-12,First Class,CUST-2153,Consumer,Central,Leicester,Office Supplies,Art,4,13.08,0.1,47.09,13.39
ORD-103723,2024-01-09,2024-01-12,Standard Class,CUST-1056,Consumer,North,Manchester,Furniture,Furnishings,3,286.51,0.0,859.53,132.85
ORD-105353,2024-01-09,2024-01-13,Standard Class,CUST-1296,Consumer,North,Leeds,Office Supplies,Art,2,116.88,0.2,187.01,-10.61
ORD-101390,2024-01-09,2024-01-13,Second Class,CUST-1302,Home Office,Central,Nottingham,Furniture,Chairs,1,332.36,0.0,332.36,32.9
ORD-101205,2024-01-09,2024-01-14,Standard Class,CUST-1943,Consumer,North,Leeds,Office Supplies,Art,1,118.18,0.3,82.73,12.33
ORD-100147,2024-01-10,2024-01-15,Standard Class,CUST-2441,Corporate,East,Cambridge,Office Supplies,Labels,4,101.28,0.2,324.1,-21.61
ORD-100353,2024-01-10,2024-01-13,Second Class,CUST-2092,Corporate,South,Reading,Office Supplies,Art,4,112.13,0.0,448.52,43.12
ORD-105009,2024-01-10,2024-01-14,Standard Class,CUST-1182,Home Office,Central,Nottingham,Furniture,Tables,1,352.21,0.3,246.55,-9.19
ORD-100510,2024-01-10,2024-01-13,Second Class,CUST-1820,Corporate,East,Peterborough,Office Supplies,Storage,2,9.19,0.2,14.7,3.18
ORD-104851,2024-01-10,2024-01-14,Same Day,CUST-1488,Corporate,South,Portsmouth,Technology,Accessories,3,591.87,0.0,1775.61,-155.88
ORD-101155,2024-01-10,2024-01-11,Standard Class,CUST-1284,Consumer,West,Plymouth,Office Supplies,Art,1,16.38,0.3,11.47,-0.81
ORD-101167,2024-01-10,2024-01-14,First Class,CUST-1769,Corporate,Central,Leicester,Technology,Accessories,2,862.52,0.3,1207.53,-137.73
